S.No.,Area,Total population,(Total Population 1991),Total Population Age 7 and Above,Total Males,Total Females,Illiterate Males,Illiterate Females,Literate without educational level Non formal Males,Literate without educational level Non formal Females,Literate without educational level formal males,Literate without educational level formal females,Primary Males,Primary Females,Middle Males,Middle Females,Matriculation/ Secondary Males,Matriculation/ Secondary Females,Higher Secondary/ Intermediate/Pre University/Senior Secondary Males,Higher Secondary/ Intermediate/Pre University/Senior Secondary Females,Non technical diploma or certificate not equal to degree Males,Non technical diploma or certificate not equal to degree Females,Technical diploma or certificate not equal to degree Males,Technical diploma or certificate not equal to degree Females,Graduate and above Males,Graduate and above Females,Total Literates,Literacy Rate 1991 (%),Growth Rate (1981 & 1991) (%),Total Population (1981)
1,India (Excluding J&K),838567936," 846,421,039 ",688156096,435208158,403359778,205647825,273596291,3839627,1978295,50688835,34071048,62579898,40687967,48709214,26420901,32932655,14470591,13858287,5618980,436694,247468,1721461,430927,14793662,5837310,359323820,52.2154525824327,23.8672614287929," 683,329,097 "
2,State - JAMMU & KASHMIR  01,0," 7,837,051 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8926311619305," 5,987,389 "
3,State-Himachal Pradesh,5170877," 5,170,877 ",4330456,2617467,2553410,969456,1436012,3260,2225,411203,317793,484876,428711,303173,182464,284210,115968,68834,32010,2054,2686,17879,6406,72522,29135,2765409,63.8595334994744,20.7917972686529," 4,280,818 "
4,State-Punjab,20281969," 20,281,969 ",16975724,10778034,9503935,4858809,5491044,40506,26524,1193914,900998,1499224,1273144,1127003,670949,1373817,715039,267547,162696,9500,10394,44986,25985,362728,227162,9932116,58.5077608471957,20.8057161525924," 16,788,915 "
5,State - UTTARANCHAL  05,0," 7,050,634 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1342730980871," 5,725,972 "
6,State-Haryana,16463648," 16,463,648 ",13338475,8827474,7636174,3877361,5137275,8040,5430,1195499,775543,1304757,792932,899031,366258,940911,299962,286667,112691,4140,5822,52360,21403,258708,118858,7449012,55.8460543652854,27.406720213612," 12,922,119 "
7,State-Rajasthan,44005990," 44,005,990 ",35146498,23042780,20963210,12913087,17543815,193796,80335,2615683,1078786,2871548,1062892,2005336,552229,1001509,252212,763199,191960,11470,3332,26578,3940,640574,193709,13549088,38.5503215711562,28.4401589148891," 34,261,862 "
8,State-Uttar Pradesh,139112287," 132,061,653 ",110912664,74036957,65075330,40926108,52041983,1465535,449171,6505128,3354753,7933631,3934633,7215543,2420334,4784792,1296169,2807429,797199,82969,20030,77552,10339,2238270,750719,46144196,41.604082289467,25.6096624446648," 105,136,540 "
9,State-Bihar,86374465," 64,530,554 ",68610279,45202091,41172374,26233455,33738112,522334,241490,3327348,1777863,4102695,1947777,5003429,2000085,3386566,925560,1200227,263863,19734,4450,22810,3380,1383493,269794,26402898,38.4824233115274,23.3790935892081," 52,302,665 "
10,State-Sikkim,406457," 406,457 ",331810,216427,190030,99201,118316,4469,1787,36950,25066,28289,17739,23077,14359,14526,8628,5052,2267,53,24,136,27,4674,1817,188940,56.9422259726952,28.4691119996207," 316,385 "
11,State-Arunachal Pradesh,864558," 864,558 ",681933,465004,399554,273163,307785,1345,899,54991,32513,48855,25652,41866,18192,21032,7519,9758,3585,369,44,1906,97,11719,3268,283610,41.5891297238878,36.8320094201213," 631,839 "
12,State-Nagaland,1209546," 1,209,546 ",1002059,641282,568264,278053,313757,8621,5556,79150,70731,91545,70540,110549,73063,40648,21613,15703,7634,460,311,731,112,15822,4947,617736,61.6466695074841,56.0845495722194," 774,930 "
13,State-Manipur,1837149," 1,837,149 ",1530532,938359,898790,377475,542982,28226,17168,88704,74560,97677,74731,186049,107687,74550,36947,34584,19968,939,512,1094,437,49061,23798,916692,59.8936840262079,29.2899202155173," 1,420,953 "
14,State-Mizoram,689756," 689,756 ",561483,358978,330778,107427,120399,1500,1409,83265,82554,69876,57755,61419,50829,18837,10520,6322,3035,1613,1433,199,113,8520,2731,461930,82.2696323842396,39.6954372292444," 493,757 "
15,State-Tripura,2757205," 2,757,205 ",2260083,1417930,1339275,595528,795697,4116,2252,319400,240322,202494,147889,165895,96263,53952,24552,30172,14040,465,207,1999,130,43909,17923,1365980,60.439373244257,34.2974723558711," 2,053,058 "
16,State-Meghalaya,1774778," 1,774,778 ",1381049,907687,867091,530817,565856,15187,12274,126809,115744,84069,71310,89698,63856,25450,14877,14811,10955,1404,1059,1105,192,18337,10968,678105,49.100719815155,32.8606645061943," 1,335,819 "
17,State-Assam,22414322," 22,414,322 ",17992811,11657989,10756333,5830340,7067589,66100,46148,1132742,832033,1691334,1129344,1540055,1032614,840073,442969,268321,114056,3640,780,16590,1599,268794,89201,9516393,52.8899736678166,24.2393098304508," 18,041,248 "
18,State-West Bengal,68077965," 68,077,965 ",56515668,35510633,32567332,15418797,20049771,265280,226019,4666746,3488332,5767089,4088353,4786882,2779681,2017960,937727,1039651,421375,13260,3170,62160,6830,1472808,566074,32609397,57.6997462013543,24.7291278903308," 54,580,647 "
19,State - JHARKHAND  20,0," 21,843,911 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.028079835481," 17,612,069 "
20,State-Orissa,31659736," 31,659,736 ",26312235,16064146,15595590,7644755,11099064,205471,96180,2705623,1605386,1771557,1114596,2142639,1117514,764009,310435,293980,109496,20846,4970,77582,19186,437684,118763,12915917,49.0871147965956,20.0584400516779," 26,370,271 "
21,State - CHHATTISGARH  22,0," 17,614,928 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7280820582688," 14,010,337 "
22,State-Madhya Pradesh,66181170," 48,566,242 ",53089600,34267293,31913877,18166008,24549861,219501,99086,5235780,2879318,4562345,2157380,2424186,958681,1229528,400407,1347219,477223,9690,2650,76230,4520,996806,384751,23465301,44.1994307736355,27.2416602514738," 38,168,507 "
23,State-Gujarat,41309582," 41,309,582 ",34479225,21355209,19954373,8330077,11848105,24458,24064,2486436,1860850,5176559,3525671,1904769,984161,1990437,1013303,591309,318285,58940,51055,90105,12157,702119,316722,21131400,61.2873404202096,21.1929402036314," 34,085,799 "
24,State-Maharashtra,78921135," 78,937,187 ",65425934,40817418,38103717,14845485,21589128,165036,121267,4932899,3842698,6585338,4805385,6571734,4263731,4271330,2018985,1366677,576819,28818,14380,365119,91336,1684982,779988,42486522,64.938349982134,25.7305573636405," 62,782,818 "
25,State-Andhra Pradesh,66508008," 66,508,008 ",55543620,33724581,32783427,18191892,23828557,120990,71944,4046210,2828764,4702697,3190500,1980247,1053474,2350774,1022330,1014267,404151,24410,9530,179433,21592,1113661,352585,24487559,44.0870778678091,24.1955812387236," 53,551,026 "
26,State-Karnataka,44977201," 44,977,201 ",37499590,22951917,22025284,10080289,13883719,66250,60420,3225595,2379516,3343397,2316735,2474544,1629284,2007994,1063439,713930,315162,92039,60485,135096,17231,812783,299293,21013193,56.0357939913476,21.1157566540931," 37,135,714 "
27,State-Goa,1169793," 1,169,793 ",1032477,594790,575003,155756,234441,1670,1435,67627,59299,111771,93287,110685,88782,83913,59347,23362,16339,195,271,11203,3612,28608,18190,779596,75.5073478634391,16.0797976480255," 1,007,749 "
28,State-Kerala,29098518," 29,098,518 ",25191048,14288995,14809523,2746147,3665910,159890,225929,1654764,1733472,3519023,3465842,3503972,3256490,1620618,1498138,401625,440193,20610,36510,218846,135024,443500,352015,22686461,90.0576307901124,14.3194932913433," 25,453,680 "
29,State-Tamil Nadu,55858946," 55,858,946 ",48410887,28298975,27559971,10248802,15273909,235139,148939,3935330,3252398,5681840,4210306,3170445,2097584,2945757,1554015,848377,535654,26580,9210,192537,29162,1014168,448794,30336235,62.6640759546504,15.3917888537485," 48,408,077 "
